root_form,form_name,filed_at,reporting_for,entity_name,ticker,company_cik,company_cik_trimmed,place_of_business,incorporated_location,file_num,film_num,file_num_search_url,filing_details_url,filing_document_url
,,2021-05-18,,ReNew Energy Global Ltd,"RNW, RNWWW",0001848763,1848763,"London, United Kingdom",[],333-256228,21933576,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256228&action=getcompany,https://www.sec.gov/Archives/edgar/data/1848763/000119312521164239/0001193125-21-164239-index.html,https://www.sec.gov/Archives/edgar/data/1848763/000119312521164239/d102215df4.htm
,,2021-07-28,,ReNew Energy Global plc,"RNW, RNWWW",0001848763,1848763,"London, United Kingdom",[],333-256228,211122773,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256228&action=getcompany,https://www.sec.gov/Archives/edgar/data/1848763/000119312521227412/0001193125-21-227412-index.html,https://www.sec.gov/Archives/edgar/data/1848763/000119312521227412/d102215d424b3.htm
,,2021-07-21,,Software Acquisition Group Inc. II,,0001816048,1816048,"Las Vegas, Nevada",Delaware,001-39514,211104754,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39514&action=getcompany,https://www.sec.gov/Archives/edgar/data/1816048/000119312521220657/0001193125-21-220657-index.html,https://www.sec.gov/Archives/edgar/data/1816048/000119312521220657/d12389ddefm14a.htm
,,2021-07-28,,RMG Acquisition Corp. II,,0001820143,1820143,"Miami Beach, Florida",Cayman Islands,001-39776,211122821,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=001-39776&action=getcompany,https://www.sec.gov/Archives/edgar/data/1820143/000119312521227419/0001193125-21-227419-index.html,https://www.sec.gov/Archives/edgar/data/1820143/000119312521227419/d102215ddefm14a.htm
,,2021-07-22,,ReNew Energy Global plc,"RNW, RNWWW",0001848763,1848763,"London, United Kingdom",[],333-256228,211108437,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256228&action=getcompany,https://www.sec.gov/Archives/edgar/data/1848763/000119312521221965/0001193125-21-221965-index.html,https://www.sec.gov/Archives/edgar/data/1848763/000119312521221965/d102215df4a.htm
,,2021-07-14,,ReNew Energy Global plc,"RNW, RNWWW",0001848763,1848763,"London, United Kingdom",[],333-256228,211090950,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256228&action=getcompany,https://www.sec.gov/Archives/edgar/data/1848763/000119312521215420/0001193125-21-215420-index.html,https://www.sec.gov/Archives/edgar/data/1848763/000119312521215420/d102215df4a.htm
,,2021-07-16,,"NavSight Holdings, Inc.",SPIR,0001816017,1816017,"Reston, Virginia",Delaware,333-256112,211095006,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256112&action=getcompany,https://www.sec.gov/Archives/edgar/data/1816017/000119312521217212/0001193125-21-217212-index.html,https://www.sec.gov/Archives/edgar/data/1816017/000119312521217212/d129041ds4a.htm
,,2021-02-24,,FlexShares Trust,,0001491978,1491978,"Chicago, Illinois",Maryland,811-22555,21672878,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=811-22555&action=getcompany,https://www.sec.gov/Archives/edgar/data/1491978/000119312521054568/0001193125-21-054568-index.html,https://www.sec.gov/Archives/edgar/data/1491978/000119312521054568/d66607d485bpos.htm
,,2021-06-22,,ReNew Energy Global plc,"RNW, RNWWW",0001848763,1848763,"London, United Kingdom",[],333-256228,211032987,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256228&action=getcompany,https://www.sec.gov/Archives/edgar/data/1848763/000119312521195622/0001193125-21-195622-index.html,https://www.sec.gov/Archives/edgar/data/1848763/000119312521195622/d102215df4a.htm
,,2021-06-28,,"NavSight Holdings, Inc.",SPIR,0001816017,1816017,"Reston, Virginia",Delaware,333-256112,211049732,https://www.sec.gov/cgi-bin/browse-edgar/?filenum=333-256112&action=getcompany,https://www.sec.gov/Archives/edgar/data/1816017/000119312521200770/0001193125-21-200770-index.html,https://www.sec.gov/Archives/edgar/data/1816017/000119312521200770/d129041ds4a.htm
